user_Id,studentNum,name,major,position_Id,password,msg
0,100010000,양일수,체육학과,1,123123,메세지없음
1,100180001,노시영,불교학과,2,123123,메세지없음
2,070030002,신주미,독어독문학과,1,123123,메세지없음
3,100110003,이혜란,독어독문학과,1,123123,메세지없음
4,110060004,마승민,체육학과,1,123123,메세지없음
5,130020005,이승민,시스템응용과,1,123123,메세지없음
6,110070006,신별님,정보통신학과,2,123123,메세지없음
7,150130007,채정희,정보통신학과,2,123123,메세지없음
8,100060008,최근혜,간호학과,0,123123,메세지없음
9,140080009,나영수,정보통신학과,1,123123,메세지없음
10,070020010,민하영,호텔경영학과,2,123123,메세지없음
11,080110011,심미희,항만물류학과,2,123123,메세지없음
12,120130012,마하영,디지털미디어과,0,123123,메세지없음
13,130050013,유승민,기계공학과,2,123123,메세지없음
14,080180014,송현정,간호학과,2,123123,메세지없음
15,090040015,조지원,언어치료학과,1,123123,메세지없음
16,150120016,정길동,간호학과,1,123123,메세지없음
17,060030017,강사랑,정보통신학과,0,123123,메세지없음
18,140190018,인근혜,항만물류학과,1,123123,메세지없음
19,070160019,마하영,컴퓨터공학과,0,123123,메세지없음
20,090120020,주대용,시스템응용과,2,123123,메세지없음
21,120130021,왕헌철,컴퓨터공학과,0,123123,메세지없음
22,060150022,방종선,기계공학과,2,123123,메세지없음
23,060090023,주무현,항만물류학과,0,123123,메세지없음
24,090100024,표동진,간호학과,1,123123,메세지없음
25,140150025,허장석,정보통신학과,2,123123,메세지없음
26,060150026,도바마,식품공학과,2,123123,메세지없음
27,130140027,양대용,불교학과,2,123123,메세지없음
28,150180028,주진영,간호학과,2,123123,메세지없음
29,130160029,황윤성,항만물류학과,0,123123,메세지없음
30,100110030,육대용,물리학과,0,123123,메세지없음
31,120010031,탁동진,정보통신학과,1,123123,메세지없음
32,060030032,강대용,언어치료학과,0,123123,메세지없음
33,150050033,육미정,독어독문학과,2,123123,메세지없음
34,150040034,여장석,식품공학과,1,123123,메세지없음
35,130080035,권사랑,불교학과,0,123123,메세지없음
36,070080036,기명박,컴퓨터공학과,2,123123,메세지없음
